fecha,anio,mes,linea,afluencia
9/17/2005,2005,Septiembre,Linea 1,77255
9/17/2005,2005,Septiembre,Linea 5,0
9/17/2005,2005,Septiembre,Linea 6,0
9/17/2005,2005,Septiembre,Linea 4,0
9/18/2005,2005,Septiembre,Linea 2,0
9/18/2005,2005,Septiembre,Linea 7,0
9/18/2005,2005,Septiembre,Linea 1,84272
9/18/2005,2005,Septiembre,Linea 5,0
9/18/2005,2005,Septiembre,Linea 3,0
9/18/2005,2005,Septiembre,Linea 4,0
9/18/2005,2005,Septiembre,Linea 6,0
9/19/2005,2005,Septiembre,Linea 1,255389
9/19/2005,2005,Septiembre,Linea 5,0
9/19/2005,2005,Septiembre,Linea 6,0
9/19/2005,2005,Septiembre,Linea 7,0
9/19/2005,2005,Septiembre,Linea 2,0
9/19/2005,2005,Septiembre,Linea 4,0
9/19/2005,2005,Septiembre,Linea 3,0
9/20/2005,2005,Septiembre,Linea 3,0
9/20/2005,2005,Septiembre,Linea 7,0
9/20/2005,2005,Septiembre,Linea 5,0
9/20/2005,2005,Septiembre,Linea 6,0
9/20/2005,2005,Septiembre,Linea 1,264266
9/20/2005,2005,Septiembre,Linea 2,0
9/20/2005,2005,Septiembre,Linea 4,0
9/21/2005,2005,Septiembre,Linea 1,268742
9/21/2005,2005,Septiembre,Linea 4,0
9/21/2005,2005,Septiembre,Linea 7,0
9/21/2005,2005,Septiembre,Linea 5,0
9/21/2005,2005,Septiembre,Linea 6,0
9/21/2005,2005,Septiembre,Linea 2,0
9/21/2005,2005,Septiembre,Linea 3,0
9/22/2005,2005,Septiembre,Linea 5,0
9/22/2005,2005,Septiembre,Linea 7,0
9/22/2005,2005,Septiembre,Linea 2,0
9/22/2005,2005,Septiembre,Linea 4,0
9/22/2005,2005,Septiembre,Linea 6,0
9/22/2005,2005,Septiembre,Linea 1,264906
9/22/2005,2005,Septiembre,Linea 3,0
9/23/2005,2005,Septiembre,Linea 1,262771
9/23/2005,2005,Septiembre,Linea 7,0
9/23/2005,2005,Septiembre,Linea 4,0
9/23/2005,2005,Septiembre,Linea 2,0
9/23/2005,2005,Septiembre,Linea 5,0
9/23/2005,2005,Septiembre,Linea 3,0
9/23/2005,2005,Septiembre,Linea 6,0
9/24/2005,2005,Septiembre,Linea 4,0
9/24/2005,2005,Septiembre,Linea 3,0
9/24/2005,2005,Septiembre,Linea 1,174079
9/24/2005,2005,Septiembre,Linea 6,0
9/24/2005,2005,Septiembre,Linea 5,0
9/24/2005,2005,Septiembre,Linea 7,0
9/24/2005,2005,Septiembre,Linea 2,0
9/25/2005,2005,Septiembre,Linea 7,0
9/25/2005,2005,Septiembre,Linea 2,0
9/25/2005,2005,Septiembre,Linea 5,0
9/25/2005,2005,Septiembre,Linea 6,0
9/25/2005,2005,Septiembre,Linea 1,99919
9/25/2005,2005,Septiembre,Linea 4,0
9/25/2005,2005,Septiembre,Linea 3,0
9/26/2005,2005,Septiembre,Linea 5,0
9/26/2005,2005,Septiembre,Linea 1,252055
9/26/2005,2005,Septiembre,Linea 2,0
9/26/2005,2005,Septiembre,Linea 6,0
9/26/2005,2005,Septiembre,Linea 3,0
9/26/2005,2005,Septiembre,Linea 7,0
9/26/2005,2005,Septiembre,Linea 4,0
9/27/2005,2005,Septiembre,Linea 3,0
9/27/2005,2005,Septiembre,Linea 4,0
9/27/2005,2005,Septiembre,Linea 5,0
9/27/2005,2005,Septiembre,Linea 6,0
9/27/2005,2005,Septiembre,Linea 7,0
9/27/2005,2005,Septiembre,Linea 1,261186
9/27/2005,2005,Septiembre,Linea 2,0
9/28/2005,2005,Septiembre,Linea 1,288347
9/28/2005,2005,Septiembre,Linea 7,0
9/28/2005,2005,Septiembre,Linea 6,0
9/28/2005,2005,Septiembre,Linea 3,0
9/28/2005,2005,Septiembre,Linea 4,0
9/28/2005,2005,Septiembre,Linea 5,0
9/28/2005,2005,Septiembre,Linea 2,0
9/29/2005,2005,Septiembre,Linea 1,275304
9/29/2005,2005,Septiembre,Linea 6,0
9/29/2005,2005,Septiembre,Linea 7,0
9/29/2005,2005,Septiembre,Linea 2,0
9/29/2005,2005,Septiembre,Linea 4,0
9/29/2005,2005,Septiembre,Linea 5,0
9/29/2005,2005,Septiembre,Linea 3,0
9/30/2005,2005,Septiembre,Linea 5,0
9/30/2005,2005,Septiembre,Linea 6,0
9/30/2005,2005,Septiembre,Linea 3,0
9/30/2005,2005,Septiembre,Linea 7,0
9/30/2005,2005,Septiembre,Linea 2,0
9/30/2005,2005,Septiembre,Linea 1,273446
9/30/2005,2005,Septiembre,Linea 4,0
10/1/2005,2005,Octubre,Linea 1,153037
10/1/2005,2005,Octubre,Linea 4,0
10/1/2005,2005,Octubre,Linea 5,0
10/1/2005,2005,Octubre,Linea 2,0
10/1/2005,2005,Octubre,Linea 6,0
10/1/2005,2005,Octubre,Linea 7,0
10/1/2005,2005,Octubre,Linea 3,0
10/2/2005,2005,Octubre,Linea 7,0
10/2/2005,2005,Octubre,Linea 2,0
10/2/2005,2005,Octubre,Linea 6,0
10/2/2005,2005,Octubre,Linea 3,0
10/2/2005,2005,Octubre,Linea 4,0
10/2/2005,2005,Octubre,Linea 5,0
10/2/2005,2005,Octubre,Linea 1,139556
10/3/2005,2005,Octubre,Linea 1,233562
10/3/2005,2005,Octubre,Linea 4,0
10/3/2005,2005,Octubre,Linea 2,0
10/3/2005,2005,Octubre,Linea 5,0
10/3/2005,2005,Octubre,Linea 6,0
10/3/2005,2005,Octubre,Linea 7,0
10/3/2005,2005,Octubre,Linea 3,0
10/4/2005,2005,Octubre,Linea 7,0
10/4/2005,2005,Octubre,Linea 3,0
10/4/2005,2005,Octubre,Linea 1,246407
10/4/2005,2005,Octubre,Linea 5,0
10/4/2005,2005,Octubre,Linea 6,0
10/4/2005,2005,Octubre,Linea 2,0
10/4/2005,2005,Octubre,Linea 4,0
10/5/2005,2005,Octubre,Linea 7,0
10/5/2005,2005,Octubre,Linea 4,0
10/5/2005,2005,Octubre,Linea 3,0
10/5/2005,2005,Octubre,Linea 2,0
10/5/2005,2005,Octubre,Linea 5,0
10/5/2005,2005,Octubre,Linea 6,0
10/5/2005,2005,Octubre,Linea 1,246121
10/6/2005,2005,Octubre,Linea 4,0
10/6/2005,2005,Octubre,Linea 5,0
10/6/2005,2005,Octubre,Linea 6,0
10/6/2005,2005,Octubre,Linea 7,0
10/6/2005,2005,Octubre,Linea 1,279064
10/6/2005,2005,Octubre,Linea 2,0
10/6/2005,2005,Octubre,Linea 3,0
10/7/2005,2005,Octubre,Linea 1,165978
10/7/2005,2005,Octubre,Linea 2,0
10/7/2005,2005,Octubre,Linea 5,0
10/7/2005,2005,Octubre,Linea 6,0
10/7/2005,2005,Octubre,Linea 3,0
10/7/2005,2005,Octubre,Linea 4,0
10/7/2005,2005,Octubre,Linea 7,0
10/8/2005,2005,Octubre,Linea 4,0
10/8/2005,2005,Octubre,Linea 5,0
10/8/2005,2005,Octubre,Linea 3,0
10/8/2005,2005,Octubre,Linea 6,0
10/8/2005,2005,Octubre,Linea 7,0
10/8/2005,2005,Octubre,Linea 1,146811
10/8/2005,2005,Octubre,Linea 2,0
10/9/2005,2005,Octubre,Linea 7,0
10/9/2005,2005,Octubre,Linea 2,0
10/9/2005,2005,Octubre,Linea 5,0
10/9/2005,2005,Octubre,Linea 6,0
10/9/2005,2005,Octubre,Linea 1,115198
10/9/2005,2005,Octubre,Linea 4,0
10/9/2005,2005,Octubre,Linea 3,0
10/10/2005,2005,Octubre,Linea 5,0
10/10/2005,2005,Octubre,Linea 3,0
10/10/2005,2005,Octubre,Linea 7,0
10/10/2005,2005,Octubre,Linea 6,0
10/10/2005,2005,Octubre,Linea 4,0
10/10/2005,2005,Octubre,Linea 1,267690
10/10/2005,2005,Octubre,Linea 2,0
10/11/2005,2005,Octubre,Linea 1,201420
10/11/2005,2005,Octubre,Linea 2,0
10/11/2005,2005,Octubre,Linea 5,0
